Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
perkTiolavaraRank4Desc,,,,,"Lazy","Palo al Agua",,
perkTiolavaraRank4LongDesc,,,,,"They said you were lazy, how wrong they were. TongoMod weapons deal 40% more damage, attacks deal 160% more damage to stunned enemies, and powerful attacks have a 90% chance to knock down enemies. Stamina is reduced by 25% and powerful attacks by 50%. Killing blows grant 20 resistance. Landing 4 hits in a row in a short period of time causes the last hit to deal 100% additional damage. \n\nAll melee weapons increase damage 20%.","Decian que no dabas un palo al agua, cuan equivocados estaban. Las armas de TongoMod infligen un 40 % más de daño, los ataques infligen un 160 % más de daño a los enemigos aturdidos y los ataques poderosos tienen una probabilidad del 90 % de derribar a los enemigos. La resistencia se reduce un 25 % y los ataques poderosos un 50 %. Los golpes mortales otorgan 20 de resistencia. Asestar 4 golpes seguidos en poco tiempo causa que el último golpe inflija un 100 % de daño adicional. \n\nTodas las armas a melee aumentan su daño un 20%.",,
perkTiolavaraRank5Desc,,,,,"Uncle the Rod","Tio la Vara",,
perkTiolavaraRank5LongDesc,,,,,"The brave uncle the rod, capable of destroying everything that is put in front of him. TongoMod weapons deal 50% more damage, attacks deal 200% more damage to stunned enemies, and powerful attacks have a 100% chance to knock back enemies. Killing blows grant 30 resistance. Landing 3 hits in a row in a short period of time causes the last hit to deal 100% additional damage. \n\nAll melee weapons increase damage 25%.","El atentico tio la vara, capaz de destrozar todo lo que se le ponga delante. Las armas de TongoMod infligen un 50 % más de daño, los ataques infligen un 200 % más de daño a los enemigos aturdidos y los ataques poderosos tienen una probabilidad del 100 % de volver a derribar a los enemigos. Los golpes mortales otorgan 30 de resistencia. Asestar 3 golpes seguidos en poco tiempo causa que el último golpe inflija un 100 % de daño adicional. \n\nTodas las armas a melee aumentan su daño un 25%.",,
attTongoRank01Desc,,,,,"Laziness","Flojeras",,
attTongoRank01LongDesc,,,,,"You're laziness, and have a lot of zombies left to kill before you get anywhere.","Eres un flojeras, pues no te quedan zombis que matar antes de llegar a alguna parte.",,
attTongoRank02Desc,,,,,"Sickly","Enclenque",,
attTongoRank02LongDesc,,,,,"So you're not going anywhere, grab a stick and start blasting zombies, this is the apocalypse.","Así no vas a ninguna parte, coje un palo y empieza a reventar zombis, esto es el apocalipsis \n\nSe necesita pesonaje nivel 10.",,
attTongoRank03Desc,,,,,"Posture","Postureo",,
attTongoRank03LongDesc,,,,,"You have improved a little, but it doesn't bother me, this is pure posturing.","Has mejorado un poco, pero a mi no me la cuelas, esto es puro postureo \n\nSe necesita pesonaje nivel 20.",,
attTongoRank04Desc,,,,,"Slapping","Collejeador",,
attTongoRank04LongDesc,,,,,"Do you give them or do they give them to you? Zombies at night can easily leave your neck red.","¿Las das o te las dan?, los zombis por la noche te pueden dejar el cuello rojo facilmente \n\nSe necesita pesonaje nivel 30.",,
attTongoRank05Desc,,,,,"Substitute","Suplente",,
attTongoRank05LongDesc,,,,,"You are still a substitute, you still have a long way to go to be the king of the court.","Todavia eres suplente, aun te falta mucho para ser el rey de la pista \n\nSe necesita pesonaje nivel 40.",,
attTongoRank06Desc,,,,,"Brawler","Camorrista",,
attTongoRank06LongDesc,,,,,"It seems like you like getting into trouble, you better watch your back.","Parece que te gusta meterte en lios, sera mejor que te cuides las espaldas \n\nSe necesita pesonaje nivel 50.",,
attTongoRank07Desc,,,,,"Aggro","Broncano",,
attTongoRank07LongDesc,,,,,"Aggro are your thing, you don't miss one, and the zombies start to regret it.","Las broncas son lo tuyo, no te pierdes una, y los zombis empiezan a lamentarlo \n\nSe necesita pesonaje nivel 60.",,
attTongoRank08Desc,,,,,"BadAss","Tipo Rudo",,
attTongoRank08LongDesc,,,,,"You're showing who's boss in the apocalypse.","Estas demostrando quíen manda en el apocalipsis \n\nSe necesita pesonaje nivel 70.",,
attTongoRank09Desc,,,,,"The Mafia","El mafia",,
attTongoRank09LongDesc,,,,,"You have become a true mafia, and there is no threat that can resist you.","Te has convertido en un autentico mafia, y no hay amenaza que se te resista \n\nSe necesita pesonaje nivel 80.",,
attTongoRank10Desc,,,,,"The King of the City","El Rey de la Ciudad",,
attTongoRank10LongDesc,,,,,"You reached the highest levels, everyone pays tribute to you, and now you are number 1, the king of the city.","Llegaste a los mas alto, todos te rinden pleitesia, y ahora eres el numero 1, el rey de la ciudad \n\nSe necesita pesonaje nivel 100.",,
perkSexualTrexTM,,,,,"English","Spanish",,
perkSexualTrexTMName,,,,,"Almost Sexual Tyrannosaurus","Tiranosaurio casi Sexual",,
perkSexualTrexTMDesc,,,,,"Inherit the capabilities of the greatest predator on earth, and unleash your physical abilities to the limit and beyond.","Hereda las capacidades del mayor depredador de la tierra, y libera tus aptitudedes fisicas hasta el limite y mas alla.",,
perkSexualTrexRank1TMDesc,,,,,"Bench Warmer","Calentador de bancos",,
perkSexualTrexRank1TMLongDesc,,,,,"You have graduated as a bench warmer. Reduces stamina consumption by 1% when using melee and tools, 2% when running or swimming, 5% when jumping. Reduces general damage by 2%, special damage by 1%, and recovers health 1% faster.","Te has graduado como calentador de bancos. Reduce el consumo de resistencia un 1 % en el uso del cuerpo a cuerpo y las herramientas, 2% al correr o nadar, 5 % al saltar. Reduce el daño general un 2 %, el daño especial un 1 %, y recupera salud un 1% mas rapido.",,
perkSexualTrexRank2TMDesc,,,,,"Athlete","Atleta",,
perkSexualTrexRank2TMLongDesc,,,,,"Now you are a bona fide athlete and doing nothing is a thing of the past. Reduces stamina consumption by 3% when using melee and tools, 4% when running or swimming, 7% when jumping. Reduces general damage by 4%, special damage by 2%, and recovers health 2% faster.","Ahora eres un atleta de buena fe y eso de no hacer nada es cosa del pasado. Reduce el consumo de resistencia un 3 % en el uso del cuerpo a cuerpo y las herramientas, 4 % al correr o nadar, 7 % al saltar. Reduce el daño general un 4%, el daño especial un 2 %, y recupera salud un 2% mas rapido.",,
perkSexualTrexRank3TMDesc,,,,,"Warrior","Guerrero",,
perkSexualTrexRank3TMLongDesc,,,,,"No one will disrespect a warrior. Reduces stamina consumption by 5% when using melee and tools, 6% when running or swimming, 10% when jumping. Reduces general damage by 6%, special damage by 3%, and recovers health 3% faster.","Nadie le faltará el respeto a un guerrero. Reduce el consumo de resistencia un 5 % en el uso del cuerpo a cuerpo y las herramientas, 6% al correr o nadar, 10 % al saltar. Reduce el daño general un 6%, el daño especial un 3 %, y recupera salud un 3% mas rapido.",,
perkSexualTrexRank4TMDesc,,,,,"Cage Gladiator","Gladiador de Jaula",,
perkSexualTrexRank4TMLongDesc,,,,,"You are now a cage gladiator and have achieved the highest possible athletic prowess. Reduces stamina consumption by 7% when using melee and tools, 8% when running or swimming, 14% when jumping. Reduces general damage by 9%, special damage by 4%, and recovers health 5% faster.","Ahora eres un gladiador de jaula y has alcanzado la mayor destreza atlética posible. Reduce el consumo de resistencia un 7 % en el uso del cuerpo a cuerpo y las herramientas, 8 % al correr o nadar, 14 % al saltar. Reduce el daño general un 9%, el daño especial un 4 %, y recupera salud un 5% mas rapido.",,
perkSexualTrexRank5TMDesc,,,,,"Spartan","Espartano",,
perkSexualTrexRank5TMLongDesc,,,,,"You are the culmination of physical discipline, and your abilities surpass those of any mortal. Reduces stamina consumption by 10% when using melee and tools, 10% when running or swimming, 20% when jumping. Reduces general damage by 12%, special damage by 5%, and recovers health 8% faster.","Eres la culminación de la disciplina fisica, y tus habilidades superan a las de cualquier mortal. Reduce el consumo de resistencia un 10 % en el uso del cuerpo a cuerpo y las herramientas, 10 % al correr o nadar, 20 % al saltar. Reduce el daño general un 12%, el daño especial un 5 %, y recupera salud un 8% mas rapido.",,
perkAvaricioso,,,,,"English","Spanish",,
perkAvariciosoName,,,,,"Greedy","Avaricioso",,
perkAvariciosoDesc,,,,,"If greed is your thing, without a doubt this is the skill you were looking for","Si la avaricia es lo tuyo, sin duda alguna esta es la habilidad que andabas buscando.",,
perkAvariciosoRank1Desc,,,,,"Magpie","Urraca",,
perkAvariciosoRank1LongDesc,,,,,"You are like a magpie, every coin counts, even if you have to take them off the ground. Improves vendor loot by 5%, buy and sell 1% cheaper, get 1% more coins per mission, increase looting stage by 5%, loot 10% faster, reduce loot radius treasures by 10%, and increases treasure loot by 10%.","Eres como una urraca, cada moneda cuenta, aunque las tengas que despegar del suelo. Mejora el botín del vendedor en un 5 %, compra y vende un 1 % mas barato, obtén un 1 % mas de monedas por misión, aumenta la etapa de saqueo un 5 %, saquea un 10 % mas rápido, reduce el radio de los tesoros un 10 %, y aumenta el botín de los tesoros un 10 %.",,
perkAvariciosoRank2Desc,,,,,"Mouse","Ratilla",,
perkAvariciosoRank2LongDesc,,,,,"By skimming you begin to accumulate your small fortune. Improves vendor loot by 8%, buys and sells 3% cheaper, gets 3% more coins per mission, increases looting stage by 10%, loots 20% faster, reduces loot radius treasures by 15%, and increases treasure loot by 12%.","A base de ratear comienzas a acumular tu pequeña fortuna. Mejora el botín del vendedor en un 8 %, compra y vende un 3 % mas barato, obtén un 3 % mas de monedas por misión, aumenta la etapa de saqueo un 10 %, saquea un 20 % mas rápido, reduce el radio de los tesoros un 15 %, y aumenta el botín de los tesoros un 12 %.",,
perkAvariciosoRank3Desc,,,,,"Usurer","Usurero",,
perkAvariciosoRank3LongDesc,,,,,"You move well in usury, it shows that this is your thing. Improves vendor loot by 11%, buy and sell 5% cheaper, get 3% more coins per mission, increase looting stage by 15%, loot 30% faster, reduce loot radius treasures by 20%, and increases treasure loot by 15%.","En la usura te mueves bien, se nota que esto es lo tuyo. Mejora el botín del vendedor en un 11 %, compra y vende un 5 % mas barato, obtén un 3 % mas de monedas por misión, aumenta la etapa de saqueo un 15 %, saquea un 30 % mas rápido, reduce el radio de los tesoros un 20 %, y aumenta el botín de los tesoros un 15 %.",,
perkAvariciosoRank4Desc,,,,,"Donald Duck Trumph","Donald Pato Trumph",,
perkAvariciosoRank4LongDesc,,,,,"You're already there, you can rub shoulders with the richest and most pedantic characters known. Improves vendor loot by 15%, buys and sells 7% cheaper, gets 5% more coins per mission, increases looting stage by 20%, loots 40% faster, reduces loot radius treasures by 25%, and increases treasure loot by 17%.","Ya estas ahí, puedes codearte los mas ricos y pedantes personajes conocidos. Mejora el botín del vendedor en un 15 %, compra y vende un 7 % mas barato, obtén un 5 % mas de monedas por misión, aumenta la etapa de saqueo un 20 %, saquea un 40 % mas rápido, reduce el radio de los tesoros un 25 %, y aumenta el botín de los tesoros un 17 %.",,
perkAvariciosoRank5Desc,,,,,"Mr. Rockefeller","Mr. Rockefeller",,
perkAvariciosoRank5LongDesc,,,,,"Money is in your DNA and flows everywhere, without a doubt, you are the richest in the apocalypse. Improves vendor loot by 20%, buy and sell 10% cheaper, get 10% more coins per mission, increase looting stage by 25%, loot 50% faster, reduce loot radius treasures by 30%, and increases treasure loot by 20%. \n\nYou can choose an additional reward per mission.","El dinero esta en tu ADN y fluye por doquier, sin duda alguna, eres el mas rico del apocalipsis. Mejora el botín del vendedor en un 20 %, compra y vende un 10 % mas barato, obtén un 10 % mas de monedas por misión, aumenta la etapa de saqueo un 25 %, saquea un 50 % mas rápido, reduce el radio de los tesoros un 30 %, y aumenta el botín de los tesoros un 20 %. \n\nPuedes elegir una recompensa adicional por misión.",,
perkEscudero,,,,,"English","Spanish",,
perkEscuderoName,,,,,"Squire","Escudero",,
perkEscuderoDesc,,,,,"You specialize in defense, and you will gain some additional skills with it.","Te especializas en defensa, y ganaras algunas habilidades adicionales con ello.",,
perkEscuderoRank1Desc,,,,,"Sancho Panza","Sancho Panza",,
perkEscuderoRank1LongDesc,,,,,"The most famous squire in literature (or so it seems). Reduces TongoMod armor degradation by 15%, increases resistance to cold or heat by 2%, and reduces food and water consumption by 1%. \n\nAll armor gains an additional 5% resistance.","El escudero mas famoso de la literatura (o eso parece). Reduce la degradacion de armaduras TongoMod en un 15 %, aumenta la resistencia a frio o calor en un 2 %, y reduce el consumo de agua y comida en un 1 %. \n\nTodas las armaduras ganan un 5% de resistencia adicional.",,
perkEscuderoRank2Desc,,,,,"300","300",,
perkEscuderoRank2LongDesc,,,,,"The 300 were an elite corps of the Spartan army, with enviable mastery of the shield. Reduces TongoMod armor degradation by 30%, increases resistance to cold or heat by 4%, and reduces food and water consumption by 3%. \n\nAll armor gains an additional 10% resistance.","Los 300 eran un cuerpo de elite del ejercito espartano, con un dominio del escudo envidiable. Reduce la degradacion de armaduras TongoMod en un 30 %, aumenta la resistencia a frio o calor en un 4 %, y reduce el consumo de agua y comida en un 3 %. \n\nTodas las armaduras ganan un 10% de resistencia adicional.",,
perkEscuderoRank3Desc,,,,,"Rygar","Rygar",,
perkEscuderoRank3LongDesc,,,,,"Using a shield as a weapon in a video game can be strange, although it is also quite original. Reduces TongoMod armor degradation by 45%, increases resistance to cold or heat by 6%, and reduces food and water consumption by 5%. \n\nAll armor gains an additional 15% resistance.","Usar un escudo como arma  en un videojueo puede ser raro, aunque tambien bastante original. Reduce la degradacion de armaduras TongoMod en un 45 %, aumenta la resistencia a frio o calor en un 6 %, y reduce el consumo de agua y comida en un 5 %. \n\nTodas las armaduras ganan un 15% de resistencia adicional.",,
perkEscuderoRank4Desc,,,,,"Nick Fury","Nick Furia",,
perkEscuderoRank4LongDesc,,,,,"The colonel runs an organization called Shield, the name says it all. Reduces TongoMod armor degradation by 60%, increases resistance to cold or heat by 8%, and reduces food and water consumption by 7%. \n\nAll armor gains an additional 20% resistance.","El coronel dirige una organización llamada Shield (escudo), el nombre lo dice todo. Reduce la degradacion de armaduras TongoMod en un 60 %, aumenta la resistencia a frio o calor en un 8 %, y reduce el consumo de agua y comida en un 7 %. \n\nTodas las armaduras ganan un 20% de resistencia adicional.",,
perkEscuderoRank5Desc,,,,,"Captain America","Capitán América",,
perkEscuderoRank5LongDesc,,,,,"The leader of the Avengers, and an example of what can be done with a shield and a lot of skill. Reduces TongoMod armor degradation by 75%, increases resistance to cold or heat by 10%, and reduces food and water consumption by 10%. \n\nAll armor gains an additional 25% resistance.","El lider de los vengadores, y un ejemplo de lo que se puede hacer con un escudo y mucha destreza. Reduce la degradacion de armaduras TongoMod en un 75 %, aumenta la resistencia a frio o calor en un 10 %, y reduce el consumo de agua y comida en un 10 %. \n\nTodas las armaduras ganan un 25% de resistencia adicional.",,
armorGrapheneHelmetTM,,,,,"Graphene Helmet","Casco de Grafeno",,
armorGrapheneHelmetTMDesc,,,,,"The toughest armor in the game, it costs a little to wear, but you will literally be a tank with legs. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","La armadura mas resistente del juego, cuesta un poco llevarla, pero seras literalmente un tanque con piernas. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorGrapheneChestTM,,,,,"Graphene Armor","Armadura de Grafeno",,
armorGrapheneChestTMDesc,,,,,"The toughest armor in the game, it costs a little to wear, but you will literally be a tank with legs. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","La armadura mas resistente del juego, cuesta un poco llevarla, pero seras literalmente un tanque con piernas. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorGrapheneGlovesTM,,,,,"Graphene Reinfored Gloves","Guantes Reforzados de Grafeno",,
armorGrapheneGlovesTMDesc,,,,,"The toughest armor in the game, it costs a little to wear, but you will literally be a tank with legs. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","La armadura mas resistente del juego, cuesta un poco llevarla, pero seras literalmente un tanque con piernas. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorGrapheneLegsTM,,,,,"Graphene Meshes","Mallas de Grafeno",,
armorGrapheneLegsTMDesc,,,,,"The toughest armor in the game, it costs a little to wear, but you will literally be a tank with legs. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","La armadura mas resistente del juego, cuesta un poco llevarla, pero seras literalmente un tanque con piernas. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorGrapheneBootsTM,,,,,"Graphene Reinforced Boots","Botas Reforzadas de Grafeno",,
armorGrapheneBootsTMDesc,,,,,"The toughest armor in the game, it costs a little to wear, but you will literally be a tank with legs. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","La armadura mas resistente del juego, cuesta un poco llevarla, pero seras literalmente un tanque con piernas. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorGrapheneTMSchematic,,,,,"Graphene Armor Schematic","Esquema de Armadura de Grafeno",,
armorClothHatGrapheneTM,,,,,"Graphene Hood","Capucha de Grafeno",,
armorClothHatGrapheneTMDesc,,,,,"Light and very resistant armor, if you play from the shadows, or you just like to move fast, this is your armor. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Armadura ligera y muy resistente, si juegas desde las sombras, o simplemente te gusta moverte rapido, esta es tu armadura. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorClothJacketGrapheneTM,,,,,"Graphene Suit","Traje de Grafeno",,
armorClothJacketGrapheneTMDesc,,,,,"Light and very resistant armor, if you play from the shadows, or you just like to move fast, this is your armor. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Armadura ligera y muy resistente, si juegas desde las sombras, o simplemente te gusta moverte rapido, esta es tu armadura. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorClothGlovesGrapheneTM,,,,,"Lightweight Graphene Gloves","Guantes Ligeros de Grafeno",,
armorClothGlovesGrapheneTMDesc,,,,,"Light and very resistant armor, if you play from the shadows, or you just like to move fast, this is your armor. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Armadura ligera y muy resistente, si juegas desde las sombras, o simplemente te gusta moverte rapido, esta es tu armadura. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorClothPantsGrapheneTM,,,,,"Graphene Pants","Pantalones de Grafeno",,
armorClothPantsGrapheneTMDesc,,,,,"Light and very resistant armor, if you play from the shadows, or you just like to move fast, this is your armor. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Armadura ligera y muy resistente, si juegas desde las sombras, o simplemente te gusta moverte rapido, esta es tu armadura. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorClothBootsGrapheneTM,,,,,"Graphene Light Boots","Botas Ligeras de Grafeno",,
armorClothBootsGrapheneTMDesc,,,,,"Light and very resistant armor, if you play from the shadows, or you just like to move fast, this is your armor. \nGoverned by the Squire perk. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Armadura ligera y muy resistente, si juegas desde las sombras, o simplemente te gusta moverte rapido, esta es tu armadura. \nSe rige por la habilidad Escudero. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
armorClothGrapheneTMSchematic,,,,,"Graphene Suit Schematic","Esquema de Traje de Grafeno",,
perkMasterTool,,,,,"English","Spanish",,
perkMasterToolName,,,,,"Tool Master","Maestro de las Herramientas",,
perkMasterToolDesc,,,,,"Take advantage of Tongod's tools and become a true Tool Master.","Sacale partido a las herramientas de TongoMod y conviertete en un autentico Maestro de las Herramientas.",,
perkMasterToolRank1Desc,,,,,"The 7 Dwarfs","Los 7 Enanitos",,
perkMasterToolRank1LongDesc,,,,,"You aspire to be like the 7 dwarfs, and get your own diamond mine. Increases tool damage by 10%, block damage by 40%, gains 30% more resources, gains 10% more experience, and stamina consumption is reduced by 10%. As long as you use TongoMod's own tools. \nCraft 12% faster and 10% less on Autominer Advance. \n\nAll tools deal an additional 5% block damage.","Aspiras a ser como los 7 enanitos, y conseguir tu propia mina de diamantes. Aumenta un 10 % el daño de las herramientas, un 40 % el daño en bloque, consigue un 30 % mas de recursos, gana un 10 % mas de experiencia, y el consumo de resistencia se reduce un 10 %. Siempre que utilices herramientas propias de TongoMod. \nFabrica un 12% mas rápido y un 10% más barato en Autominer Avanzado. \n\nTodas las herramientas causan daño en bloque adicional de un 5%.",,
perkMasterToolRank2Desc,,,,,"Pickaxe and Shovel","A Pico y Pala",,
perkMasterToolRank2LongDesc,,,,,"The pickaxe and shovel are very basic mining tools. Increases tool damage by 40%, block damage by 80%, gains 60% more resources, gains 12% more experience, and stamina consumption is reduced by 15%. As long as you use TongoMod's own tools. \nCraft 25% faster and 20% less on Autominer Advance. \n\nAll tools deal an additional 10% block damage.","El pico y la pala son herramientas de mineria muy basicas. Aumenta un 40 % el daño de las herramientas, un 80 % el daño en bloque, consigue un 60 % mas de recursos, gana un 12 % mas de experiencia, y el consumo de resistencia se reduce un 15 %. Siempre que utilices herramientas propias de TongoMod. \nFabrica un 25% mas rápido y un 20% más barato en Autominer Avanzado. \n\nTodas las herramientas causan daño en bloque adicional de un 10%.",,
perkMasterToolRank3Desc,,,,,"Any Tool Will Do","Cualquier Herramienta Vale",,
perkMasterToolRank3LongDesc,,,,,"Whatever the tool is, it can now be mastered. Increases tool damage by 30%, block damage by 120%, gains 90% more resources, gains 16% more experience, and stamina consumption is reduced by 20%. As long as you use TongoMod's own tools. \nCraft 39% faster and 30% less on Autominer Advance. \n\nAll tools deal an additional 15% block damage.","Sea la herramienta que sea, ya puede ir dandose por dominada. Aumenta un 30 % el daño de las herramientas, un 120 % el daño en bloque, consigue un 90 % mas de recursos, gana un 16 % mas de experiencia, y el consumo de resistencia se reduce un 20 %. Siempre que utilices herramientas propias de TongoMod. \nFabrica un 39% mas rápido y un 30% más barato en Autominer Avanzado. \n\nTodas las herramientas causan daño en bloque adicional de un 15%.",,
perkMasterToolRank4Desc,,,,,"Miner 69","Minero del 69",,
perkMasterToolRank4LongDesc,,,,,"Not even the miner 69 would expect something like that. Increases tool damage by 40%, block damage by 60%, gains 120% more resources, gains 18% more experience, and stamina consumption is reduced by 25%. As long as you use TongoMod's own tools. \nCraft 59% faster and 40% less on Autominer Advance. \n\nAll tools deal an additional 20% block damage.","Ni tan siquiera el minero del 69 se esperaria algo asi. Aumenta un 40 % el daño de las herramientas, un 60 % el daño en bloque, consigue un 120 % mas de recursos, gana un 18 % mas de experiencia, y el consumo de resistencia se reduce un 25 %. Siempre que utilices herramientas propias de TongoMod. \nFabrica un 59% mas rápido y un 40% más barato en Autominer Avanzado. \n\nTodas las herramientas causan daño en bloque adicional de un 20%.",,
perkMasterToolRank5Desc,,,,,"I am a Miner","Soy Minero",,
perkMasterToolRank5LongDesc,,,,,"By shouting I'm a Miner, get the greatest amount of resources available. Increases tool damage by 50%, block damage by 200%, gains 150% more resources, gains 20% more experience, and stamina consumption is reduced by 30%. As long as you use TongoMod's own tools. \nCraft 80% faster and 50% less on Autominer Advance \n\nAll tools deal an additional 25% block damage.","Al grito de Soy Minero, consigue la mayor cantidad de recursos disponibles. Aumenta un 50 % el daño de las herramientas, un 200 % el daño en bloque, consigue un 150 % mas de recursos, gana un 20 % mas de experiencia, y el consumo de resistencia se reduce un 30 %. Siempre que utilices herramientas propias de TongoMod. \nFabrica un 80% mas rápido y un 50% más barato en Autominer Avanzado. \n\nTodas las herramientas causan daño en bloque adicional de un 25%.",,
drugAtomJunkiesSchematic,,,,,"Atomic Junkies Schematic","Esquema de Chatarra Atómica",,
drugCovertCatsSchematic,,,,,"Covert Cats Schematic","Esquema de Gatos de Encubierto",,
drugEyeKandySchematic,,,,,"Eye Kandy Schematic","Esquema de Colirio Acaramelado",,
drugHackersSchematic,,,,,"Hackers Schematic","Esquema de Hackers",,
drugHealthBarSchematic,,,,,"Health Bar Schematic","Esquema de Barrita de Salud",,
drugJailBreakersSchematic,,,,,"Jail Breakers Schematic","Esquema de Rompecandados",,
drugNerdTatsSchematic,,,,,"Nerd Tats Schematic","Esquema de Nerd Tats",,
drugOhShitzDropsSchematic,,,,,"Oh Shitz Drops Schematic","Esquema de Oh Mierda",,
drugRockBustersSchematic,,,,,"Rock Busters Schematic","Esquema de Rompe Rocas",,
drugSkullCrushersSchematic,,,,,"Skull Crushers Schematic","Esquema de Rompe Craneos",,
drugSugarButtsSchematic,,,,,"Sugar Butts Schematic","Esquema de Peros Dulces",,
drinkCanMegaCrushSchematic,,,,,"Can Mega Crush Schematic","Esquema de Lata de Mega Crush",,
medicalBloodBagSchematic,,,,,"Blood Bag Schematic","Esquema de Bolsa de Sangre",,
drugVitaminsSchematic,,,,,"Vitamins Schematic","Esquema de Vitaminas",,
drugPainkillersSchematic,,,,,"Painkillers Schematic","Esquema de Analgésicos",,
resourceAcidSchematic,,,,,"Acid Schematic","Esquema de Acido",,
resourceTestosteroneExtractSchematic,,,,,"Testosterone Extract Schematic","Esquema de Estracto de Testosterona",,
foodCanBeefSchematic,,,,,"Can Beef Schematic","Esquema de Lata de Gran porción de Ternera",,
foodCanChickenSchematic,,,,,"Can Chicken Schematic","Esquema de Lata de Porción de Pollo",,
foodCanLambSchematic,,,,,"Can Lamb Schematic","Esquema de Lata de Porción de Cordero",,
foodCanCatfoodSchematic,,,,,"Can Catfood Schematic","Esquema de Lata de Comida para Gatos",,
foodCanDogfoodSchematic,,,,,"Can Dogfood Schematic","Esquema de Lata de Comida para Perros",,
foodCanChiliSchematic,,,,,"Can Chili Schematic","Esqema de Lata de Chili",,
foodCanTunaSchematic,,,,,"Can Tuna Schematic","Esquema de Lata de Atún",,
foodCanPastaSchematic,,,,,"Can Pasta Schematic","esquema de Lata de Pasta",,
foodCanSalmonSchematic,,,,,"Can Salmon Schematic","Esquema de Lata de Salmón",,
foodCanMisoSchematic,,,,,"Can Miso Schematic","Esquema de Lata de Miso",,
foodCanPeasSchematic,,,,,"Can Peas Schematic","Esquema de Lata de Guisantes",,
foodCanPearsSchematic,,,,,"Can Pears Schematic","Esquema de Lata de Peras",,
foodCanSoupSchematic,,,,,"Can Soup Schematic","Esquema de Lata de Sopa de Pollo",,
foodCanStockSchematic,,,,,"Can Stock Schematic","Esquema de Lata de Caldo",,
itemBigEngineTM,,,,,"Big Engine","Motor Gigante",,
itemBigEngineTMDesc,,,,,"Big engine for heavy machinery. \n\nIt's crafting on a dismantle machine.","Motor gigante para maquinaria pesada. \n\nSe fabrica en maquina desmontadora.",,
questEngineBoxTMBundle,,,,,"10 Engine Box","Caja de 10 Motores",,
questEngineBoxTMDesc,,,,,"Create a box by storing 10 engines in it.","Crea una caja guardando 10 motores en ella.",,
bookStoneToolsT1TM,,,,,"T0 Stone Tools T1","T0 Herramientas de Piedra T1",,
bookStoneToolsT2TM,,,,,"T0 Stone Tools T2","T0 Herramientas de Piedra T2",,
bookStoneToolsT3TM,,,,,"T0 Stone Tools T3","T0 Herramientas de Piedra T3",,
bookStoneToolsT4TM,,,,,"T0 Stone Tools T4","T0 Herramientas de Piedra T4",,
bookStoneToolsT5TM,,,,,"T0 Stone Tools T5","T0 Herramientas de Piedra T5",,
bookStoneToolsT6TM,,,,,"T0 Stone Tools T6","T0 Herramientas de Piedra T6",,
bookStoneToolsT1TMDesc,,,,,"Unlock Stone Tools T2","Desbloquea Herramientas de Piedra T2",,
bookStoneToolsT2TMDesc,,,,,"Can craft axe and shovel stone tier 2. \n\nUnlock Stone Tools T3","Permite fabricar hacha y pala de piedra tier 2. \n\nDesbloquea Herramientas de Piedra T3",,
